
Name                            SizeKB DirectoryName                           
----                            ------ -------------                           
BGM.mp3                           4294 D:\CocosProjects\XianZhengYiGeYi\asse...
bg4.png                         3703.8 D:\CocosProjects\XianZhengYiGeYi\asse...
bg2.png                         3631.1 D:\CocosProjects\XianZhengYiGeYi\asse...
bg1.png                         3277.6 D:\CocosProjects\XianZhengYiGeYi\asse...
bg3.png                         3139.4 D:\CocosProjects\XianZhengYiGeYi\asse...
倒计时.mp3                          396.8 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_048.png          373.1 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_036.png            362 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_026.png          359.3 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_033.png          357.3 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_034.png          357.3 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_031.png            357 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_032.png          355.1 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_029.png          354.6 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_038.png            354 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_037.png            354 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_035.png          353.9 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_025.png          352.8 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_030.png            351 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_028.png          350.2 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_027.png          350.2 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_024.png          349.3 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_012.png          344.3 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_013.png          339.9 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_022.png          333.7 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_021.png          333.7 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_023.png          332.6 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_014.png          328.1 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_011.png          327.4 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_040.png          325.6 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_039.png          325.6 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_016.png          321.4 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_015.png          321.4 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_041.png          315.9 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_043.png            310 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_010.png          309.7 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_009.png          309.7 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_042.png          308.3 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_019.png            307 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_020.png          305.7 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_008.png          303.5 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_045.png          296.3 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_046.png          296.3 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_044.png            295 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_018.png          292.5 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_017.png            291 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_059.png            289 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_060.png          287.1 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_058.png          286.8 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_052.png          285.8 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_053.png          285.8 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_007.png          285.5 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_047.png          284.8 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_055.png          284.1 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_057.png          283.5 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_056.png          283.5 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_051.png          282.1 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_054.png          281.7 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_043.png          280.6 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_049.png          276.3 D:\CocosProjects\XianZhengYiGeYi\asse...
processed_frame_050.png          276.3 D:\CocosProjects\XianZhengYiGeYi\asse...
